09.04.2026                                                                                                 Salida dinámica de lista                                                                                                                                                       1


	Objeto	Tipo objeto	Denomin.	Clase	Status	ESPECIE	Clase	Tipo de madera	Familia	Calidad	Terminación	Estado Humedad	Grado	Espesor Comercial	Ancho comercial	Largo Comercial	Espesor Nominal	Ancho Nominal	Largo Nominal	Espesor	  Ancho	    Largo

	1204168	Mat	PPCMC1CRGVESD 0x0x0	PM_ASERRADERO2	1	P	P	C	MC	1C	RG	VE	SD
	1204169	Mat	PPCMC2CRGVESD 0x0x0	PM_ASERRADERO2	1	P	P	C	MC	2C	RG	VE	SD
	1205761	Mat	PPCMASPRGVESD 39x157xRL	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	VE	SD	39	157		         39,000	      157,000		 39,000	157,000
	1205762	Mat	PPCMASPRGVESD 39x202xRL	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	VE	SD	39	202		         39,000	      202,000		 39,000	202,000
	1205763	Mat	PPCMASPRGVESD 50x98xRL	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	VE	SD	50	98		         50,000	       98,000		 50,000	 98,000
	1205764	Mat	PPCMASPRGVESD 50x150xRL	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	VE	SD	50	150		         50,000	      150,000		 50,000	150,000
	1205766	Mat	PPCMASPRGVESD 75x150xRL	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	VE	SD	75	150		         75,000	      150,000		 75,000	150,000
	1205767	Mat	PPCMASPRGVESD 17x98xRL	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	VE	SD	17	98		         17,000	       98,000		 17,000	 98,000
	1205768	Mat	PPLMPMBRGVESD 38x66xRL	PM_ASERRADERO2	1	P	P	L	MP	MB	RG	VE	SD	38	66		         38,000	       66,000		 38,000	 66,000
	1205769	Mat	PPLMPMBRGVESD 38x92xRL	PM_ASERRADERO2	1	P	P	L	MP	MB	RG	VE	SD	38	92		         38,000	       92,000		 38,000	 92,000
	1205770	Mat	PPLMPMBRGVESD 38x131xRL	PM_ASERRADERO2	1	P	P	L	MP	MB	RG	VE	SD	38	131		         38,000	      131,000		 38,000	131,000
	1205771	Mat	PPCMASPRGSESD 17x98xRL	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	SE	SD	17	98		         17,000	       98,000		 17,000	 98,000
	1205772	Mat	PPLMPMBRGSESD 38x66xRL	PM_ASERRADERO2	1	P	P	L	MP	MB	RG	SE	SD	38	66		         38,000	       66,000		 38,000	 66,000
	1205773	Mat	PPLMPMBRGSESD 38x92xRL	PM_ASERRADERO2	1	P	P	L	MP	MB	RG	SE	SD	38	92		         38,000	       92,000		 38,000	 92,000
	1205774	Mat	PPLMPMBRGSESD 38x131xRL	PM_ASERRADERO2	1	P	P	L	MP	MB	RG	SE	SD	38	131		         38,000	      131,000		 38,000	131,000
	1205775	Mat	PPLMPMBRGSESD 38x144xRL	PM_ASERRADERO2	1	P	P	L	MP	MB	RG	SE	SD	38	144		         38,000	      144,000		 38,000	144,000
	1205776	Mat	PPLMPMBRGSESD 38xRWxRL	PM_ASERRADERO2	1	P	P	L	MP	MB	RG	SE	SD	38	RW		         38,000			 38,000
	1205781	Mat	PPLMPMBRGVESD 38x144xRL	PM_ASERRADERO2	1	P	P	L	MP	MB	RG	VE	SD	38	144		         38,000	      144,000		 38,000	144,000
	1205782	Mat	PPLMPMBRGVESD 38xRWxRL	PM_ASERRADERO2	1	P	P	L	MP	MB	RG	VE	SD	38	RW		         38,000			 38,000
	1205791	Mat	PPCMCSPRGVESD 75x148xRL	PM_ASERRADERO2	1	P	P	C	MC	SP	RG	VE	SD	75	148		         75,000	      148,000		 75,000	148,000
	1205792	Mat	PPCMCSPRGVESD 49x194xRL	PM_ASERRADERO2	1	P	P	C	MC	SP	RG	VE	SD	49	194		         49,000	      194,000		 49,000	194,000
	1205793	Mat	PPCMCSPRGVESD 75x194xRL	PM_ASERRADERO2	1	P	P	C	MC	SP	RG	VE	SD	75	194		         75,000	      194,000		 75,000	194,000
	1205794	Mat	PPCMCSPRGVESD 49x98xRL	PM_ASERRADERO2	1	P	P	C	MC	SP	RG	VE	SD	49	98		         49,000	       98,000		 49,000	 98,000
	1205795	Mat	PPCMCSPRGVESD 75x98xRL	PM_ASERRADERO2	1	P	P	C	MC	SP	RG	VE	SD	75	98		         75,000	       98,000		 75,000	 98,000
	1205796	Mat	PPCMCSPRGVESD 49x129xRL	PM_ASERRADERO2	1	P	P	C	MC	SP	RG	VE	SD	49	129		         49,000	      129,000		 49,000	129,000
	1205797	Mat	PPCMCSPRGVESD 75x129xRL	PM_ASERRADERO2	1	P	P	C	MC	SP	RG	VE	SD	75	129		         75,000	      129,000		 75,000	129,000
	1205798	Mat	PPCMCSPRGVESD 49x150xRL	PM_ASERRADERO2	1	P	P	C	MC	SP	RG	VE	SD	49	150		         49,000	      150,000		 49,000	150,000
	1205799	Mat	PPCMCSPRGVESD 75x150xRL	PM_ASERRADERO2	1	P	P	C	MC	SP	RG	VE	SD	75	150		         75,000	      150,000		 75,000	150,000
	1205800	Mat	PPCMCSPRGVESD 49x202xRL	PM_ASERRADERO2	1	P	P	C	MC	SP	RG	VE	SD	49	202		         49,000	      202,000		 49,000	202,000
	1205801	Mat	PPCMCSPRGVESD 75x202xRL	PM_ASERRADERO2	1	P	P	C	MC	SP	RG	VE	SD	75	202		         75,000	      202,000		 75,000	202,000
	1205802	Mat	PPCMCSPRGVESD 49x259xRL	PM_ASERRADERO2	1	P	P	C	MC	SP	RG	VE	SD	49	259		         49,000	      259,000		 49,000	259,000
	1205803	Mat	PPCMCSPRGVESD 75x259xRL	PM_ASERRADERO2	1	P	P	C	MC	SP	RG	VE	SD	75	259		         75,000	      259,000		 75,000	259,000
	1205804	Mat	PPCMCSPRGVESD 55x202xRL	PM_ASERRADERO2	1	P	P	C	MC	SP	RG	VE	SD	55	202		         55,000	      202,000		 55,000	202,000
	1205805	Mat	PPCMCSPRGVESD 84x202xRL	PM_ASERRADERO2	1	P	P	C	MC	SP	RG	VE	SD	84	202		         84,000	      202,000		 84,000	202,000
	1205806	Mat	PPCMCSPRGVESD 55x150xRL	PM_ASERRADERO2	1	P	P	C	MC	SP	RG	VE	SD	55	150		         55,000	      150,000		 55,000	150,000
	1205807	Mat	PPCMCSPRGVESD 84x150xRL	PM_ASERRADERO2	1	P	P	C	MC	SP	RG	VE	SD	84	150		         84,000	      150,000		 84,000	150,000
	1205808	Mat	PPCMCSPRGVESD 37x98xRL	PM_ASERRADERO2	1	P	P	C	MC	SP	RG	VE	SD	37	98		         37,000	       98,000		 37,000	 98,000
	1205809	Mat	PPCMCSPRGVESD 56x98xRL	PM_ASERRADERO2	1	P	P	C	MC	SP	RG	VE	SD	56	98		         56,000	       98,000		 56,000	 98,000
	1205810	Mat	PPCMCSPRGVESD 55x155xRL	PM_ASERRADERO2	1	P	P	C	MC	SP	RG	VE	SD	55	155		         55,000	      155,000		 55,000	155,000
	1205811	Mat	PPCMCSPRGVESD 84x155xRL	PM_ASERRADERO2	1	P	P	C	MC	SP	RG	VE	SD	84	155		         84,000	      155,000		 84,000	155,000
	1205812	Mat	PPCMCSPRGVESD 59x104xRL	PM_ASERRADERO2	1	P	P	C	MC	SP	RG	VE	SD	59	104		         59,000	      104,000		 59,000	104,000
	1205813	Mat	PPCMCSPRGVESD 90x104xRL	PM_ASERRADERO2	1	P	P	C	MC	SP	RG	VE	SD	90	104		         90,000	      104,000		 90,000	104,000
	1205814	Mat	PPCMCSPRGVESD 59x129xRL	PM_ASERRADERO2	1	P	P	C	MC	SP	RG	VE	SD	59	129		         59,000	      129,000		 59,000	129,000
	1205815	Mat	PPCMCSPRGVESD 90x129xRL	PM_ASERRADERO2	1	P	P	C	MC	SP	RG	VE	SD	90	129		         90,000	      129,000		 90,000	129,000
	1205816	Mat	PPCMCSPRGVESD 84x129xRL	PM_ASERRADERO2	1	P	P	C	MC	SP	RG	VE	SD	84	129		         84,000	      129,000		 84,000	129,000
	1205817	Mat	PPLMLMBRGVESD 38x134xRL	PM_ASERRADERO2	1	P	P	L	ML	MB	RG	VE	SD	38	134		         38,000	      134,000		 38,000	134,000
	1205818	Mat	PPLMLMBRGVESD 38x203xRL	PM_ASERRADERO2	1	P	P	L	ML	MB	RG	VE	SD	38	203		         38,000	      203,000		 38,000	203,000
	1205819	Mat	PPLMLMBRGVESD 38x187xRL	PM_ASERRADERO2	1	P	P	L	ML	MB	RG	VE	SD	38	187		         38,000	      187,000		 38,000	187,000
	1205820	Mat	PPCMASPRGVESD 26x150xRL	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	VE	SD	26	150		         26,000	      150,000		 26,000	150,000
	1205822	Mat	PPCMASPRGVESD 42x148xRL	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	VE	SD	42	148		         42,000	      148,000		 42,000	148,000
	1205823	Mat	PPCMASPRGVESD 52x157xRL	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	VE	SD	52	157		         52,000	      157,000		 52,000	157,000
	1205824	Mat	PPCMASPRGSESD 26x150xRL	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	SE	SD	26	150		         26,000	      150,000		 26,000	150,000
	1205825	Mat	PPCMASPRGSESD 42x148xRL	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	SE	SD	42	148		         42,000	      148,000		 42,000	148,000
	1205826	Mat	PPCMASPRGSESD 52x157xRL	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	SE	SD	52	157		         52,000	      157,000		 52,000	157,000
	1205827	Mat	PPCMAPRRGVESD 23x95xRL	PM_ASERRADERO2	1	P	P	C	MA	PR	RG	VE	SD	23	95		         23,000	       95,000		 23,000	 95,000
	1205829	Mat	PPCMAPRRGVESD 50x148xRL	PM_ASERRADERO2	1	P	P	C	MA	PR	RG	VE	SD	50	148		         50,000	      148,000		 50,000	148,000
	1205830	Mat	PPCMAPRRGVESD 75x148xRL	PM_ASERRADERO2	1	P	P	C	MA	PR	RG	VE	SD	75	148		         75,000	      148,000		 75,000	148,000
	1205831	Mat	PPCMAPRRGSESD 23x95xRL	PM_ASERRADERO2	1	P	P	C	MA	PR	RG	SE	SD	23	95		         23,000	       95,000		 23,000	 95,000
	1205832	Mat	PPCMAPRRGSESD 50x148xRL	PM_ASERRADERO2	1	P	P	C	MA	PR	RG	SE	SD	50	148		         50,000	      148,000		 50,000	148,000
	1205833	Mat	PPCMAPRRGSESD 75x148xRL	PM_ASERRADERO2	1	P	P	C	MA	PR	RG	SE	SD	75	148		         75,000	      148,000		 75,000	148,000
	1205834	Mat	PPCMASPRGVESD 26x155x4880	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	VE	SD	26	155	4880	         26,000	      155,000	    4.880,000	 26,000	155,000	4.880,000
	1205835	Mat	PPCMASPRGVESD 28x104x4880	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	VE	SD	28	104	4880	         28,000	      104,000		 28,000	104,000
	1205836	Mat	PPCMASPRGVESD 28x129x4880	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	VE	SD	28	129	4880	         28,000	      129,000		 28,000	129,000
	1205837	Mat	PPCMASPRGVESD 40x129x4880	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	VE	SD	40	129	4880	         40,000	      129,000		 40,000	129,000
	1205838	Mat	PPCMASPRGSESD 26x155x4880	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	SE	SD	26	155	4880	         26,000	      155,000		 26,000	155,000
	1205839	Mat	PPCMASPRGSESD 28x104x4880	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	SE	SD	28	104	4880	         28,000	      104,000		 28,000	104,000
	1205840	Mat	PPCMASPRGSESD 28x129x4880	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	SE	SD	28	129	4880	         28,000	      129,000		 28,000	129,000
	1205841	Mat	PPCMASPRGSESD 40x129x4880	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	SE	SD	40	129	4880	         40,000	      129,000		 40,000	129,000
	1205842	Mat	PPLMUPRRGVESD 23x77xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	VE	SD	23	77		         23,000	       77,000		 23,000	 77,000
	1205843	Mat	PPLMUPRRGSESD 23x77xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	SE	SD	23	77		         23,000	       77,000		 23,000	 77,000
