23.03.2025                                                                                                Salida dinámica de lista                                                                                                                                                     1


	Objeto	Tipo objeto	Denomin.	Clase	Status	ESPECIE	Clase	Tipo de madera	Familia	Calidad	Terminación	Estado Humedad	Grado	Espesor Comercial	Ancho comercial	Largo Comercial	Espesor Nominal	Ancho Nominal	Largo Nominal	Espesor	    Ancho	    Largo

	1200035	Mat	PPCDTD1RGSESD 1 1/2x4xRL	PM_ASERRADERO	1	P	P	C	DT	D1	RG	SE	SD	1 1/2	4	RL	         38,100	      101,600		 38,000	  102,000
	1200036	Mat	PPCDTD1RGVESD 1 1/2x6xRL	PM_ASERRADERO	1	P	P	C	DT	D1	RG	VE	SD	1 1/2	6	RL	         38,100	      152,400		 38,000	  152,000
	1200037	Mat	PPCDTD1RGVESD 1 1/2x8xRL	PM_ASERRADERO	1	P	P	C	DT	D1	RG	VE	SD	1 1/2	8	RL	         38,100	      203,200		 38,000	  202,000
	1200038	Mat	PPCDTD1RGSESD 1 1/2x8xRL	PM_ASERRADERO	1	P	P	C	DT	D1	RG	SE	SD	1 1/2	8	RL	         38,100	      203,200		 38,000	  202,000
	1200039	Mat	PPCDTD1RGSESD 1 1/2x6xRL	PM_ASERRADERO	1	P	P	C	DT	D1	RG	SE	SD	1 1/2	6	RL	         38,100	      152,400		 38,000	  152,000
	1200040	Mat	PPCDTD1RGVESD 1x12xRL	PM_ASERRADERO	1	P	P	C	DT	D1	RG	VE	SD	1	12	RL	         25,400	      304,800		 25,500	  322,000
	1200041	Mat	PPC4KDTRGIVG1 2x8xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	2	8	RL	         50,800	      203,200		 54,000	  212,000
	1200042	Mat	PPCDTD1RGSESD 1 1/2x10xRL	PM_ASERRADERO	1	P	P	C	DT	D1	RG	SE	SD	1 1/2	10	RL	         38,100	      254,000		 40,000	  260,000
	1200043	Mat	PPCDTD1RGVESD 1 5/8x3xRL	PM_ASERRADERO	1	P	P	C	DT	D1	RG	VE	SD	1 5/8	3	RL	         41,300	       76,200		 25,000	   80,000
	1200044	Mat	PPC4KMAS4ISG2 1/2x5xRL	PM_ASERRADERO	1	P	P	C	4K	MA	S4	IM	G2	1/2	5	RL	         12,700	      127,000		 10,000	  122,000
	1200046	Mat	PPCMCLARGVESD 43x196xRL	PM_ASERRADERO	1	P	P	C	MC	LA	RG	VE	SD	43	196	RL	         43,000	      196,000		 43,000	  196,000
	1200047	Mat	PPCLAL1RGVESD 43x97xRL	PM_ASERRADERO	1	P	P	C	LA	L1	RG	VE	SD	43	97	RL	         43,000	       97,000		 43,000	   97,000
	1200060	Mat	PPCDTD1RGSESD 1 1/2x6xRL	PM_ASERRADERO	1	P	P	C	DT	D1	RG	SE	SD	1 1/2	6	RL	         38,100	      152,400		 38,000	  162,000
	1200061	Mat	PPCPGA1RGSESD 23x78xRL	PM_ASERRADERO	1	P	P	C	PG	A1	RG	SE	SD	23	78	RL	         23,000	       78,000		 23,000	   78,000
	1200062	Mat	PPCDTD1RGSESD 43x83xRL	PM_ASERRADERO	1	P	P	C	DT	D1	RG	SE	SD	43	83	RL	         43,000	       82,000		 43,000	   82,000
	1200063	Mat	PPCDTD1RGSESD 1 1/2x5xRL	PM_ASERRADERO	1	P	P	C	DT	D1	RG	SE	SD	1 1/2	5	RL	         38,000	      127,000		 38,000	  127,000
	1200064	Mat	PPCDTD1RGSESD 1 1/2x4xRL	PM_ASERRADERO	1	P	P	C	DT	D1	RG	SE	SD	1 1/2	4	RL	         38,000	      101,600		 38,000	  110,000
	1200065	Mat	PPCDTD1RGSESD 1 1/2x3xRL	PM_ASERRADERO	1	P	P	C	DT	D1	RG	SE	SD	1 1/2	3	RL	         38,000	       76,200		 38,000	   78,000
	1200066	Mat	PPCMCLARGVESD 89x97xRL	PM_ASERRADERO	1	P	P	C	MC	LA	RG	VE	SD	89	97	RL	         89,000	       97,000		 89,000	   97,000
	1200068	Mat	PPCDTD1RGSESD 1x12xRL	PM_ASERRADERO	1	P	P	C	DT	D1	RG	SE	SD	1	12	RL	         25,400	      304,800		 25,000	  322,000
	1200069	Mat	PPCDTD1RGSESD 1 1/2x8xRL	PM_ASERRADERO	1	P	P	C	DT	D1	RG	SE	SD	 1 1/2	8	RL	         38,100	      203,200		 38,000	  202,000
	1200070	Mat	PPCDTD1RGSESD 7/8x6xRL	PM_ASERRADERO	1	P	P	C	DT	D1	RG	SE	SD	7/8	6	RL	         22,300	      152,400		 25,000	  162,000
	1200071	Mat	PPCDTD2RGSEG2 1xRWxRL	PM_ASERRADERO	1	P	P	C	DT	D2	RG	SE	G2	1	RW	RL	         25,400			 25,500
	1200072	Mat	PPCDTD2RGSEG2 2xRWxRL	PM_ASERRADERO	1	P	P	C	DT	D2	RG	SE	G2	2	RW	RL	         50,800			 51,000
	1200073	Mat	PPCDTD2RGSEG2 3xRWxRL	PM_ASERRADERO	1	P	P	C	DT	D2	RG	SE	G2	3	RW	RL	         76,200			 76,000
	1200074	Mat	PPCDTD2RGSEG2 7/8xRWxRL	PM_ASERRADERO	1	P	P	C	DT	D2	RG	SE	G2	7/8	RW	RL	         22,200			 23,000
	1200075	Mat	PPCDTD2RGSEG2 1 1/2xRWxRL	PM_ASERRADERO	1	P	P	C	DT	D2	RG	SE	G2	1 1/2	RW	RL	         38,100			 38,000
	1200076	Mat	PPCDTD1RGVESD 1x10xRL	PM_ASERRADERO	1	P	P	C	DT	D1	RG	VE	SD	1	10	RL	         25,400	      254,000		 25,500	  260,000
	1200077	Mat	PPCDTD1RGSESD 1x1xRL	PM_ASERRADERO	1	P	P	C	DT	D1	RG	SE	SD	1	1	RL	         25,400	      254,000		 25,500	  260,000
	1200078	Mat	PPCDTD1RGSESD 28x162xRL	PM_ASERRADERO	1	P	P	C	DT	D1	RG	SE	SD	28	162	RL	         28,000	      162,000		 28,000	  162,000
	1200079	Mat	PPCDTD1RGSESD 28x80xRL	PM_ASERRADERO	1	P	P	C	DT	D1	RG	SE	SD	28	80	RL	         28,000	       80,000		 28,000	   80,000
