Objeto;Denomin.;Tipo de madera;Familia;Terminación;Grado;Espesor;Ancho;Largo;CodAgrup;EspesorPPCalc;AnchoPPCalc;LargoPPCalc;RendVolCalc;CodigoPP;PrecodPP;Calidad;kerf;Denomin..1;RendGrado;Status;FamiliaPostiza;Escuadria
1522089;PTCMAAES4SEEX 19x120x3660 324;C;MA;S4;EX;19.0;120.0;3660.0;1522089;23;128.0;3660.0;0.7744565217391305;MA231283660;MA23128;Excedente;;PTCMAAES4SEEX 19x120x3660 324;;True;MA;MA 23x128
1522090;PTCMAAES4SEEX 19x120x3050 324;C;MA;S4;EX;19.0;120.0;3050.0;1522090;23;128.0;3050.0;0.7744565217391305;MA231283050;MA23128;Excedente;;PTCMAAES4SEEX 19x120x3050 324;;True;MA;MA 23x128
1522091;PTCMAAES4SEEX 19x120x2440 324;C;MA;S4;EX;19.0;120.0;2440.0;1522091;23;128.0;4880.0;0.7744565217391305;MA2312848808+8;MA23128;Excedente;;PTCMAAES4SEEX 19x120x2440 324;;True;MA;MA 23x128
1522093;PTCMASTRGSEG1 50x100x4880 140;C;MA;RGH;G1;50.0;100.0;4880.0;1522093;52;104.0;4880.0;0.9245562130177515;MA521044880;MA52104;Standard;;PTCMASTRGSEG1 50x100x4880 140;;True;MA;MA 52x104
1522094;PTCMASTRGSEG1 50x100x4270 140;C;MA;RGH;G1;50.0;100.0;4270.0;1522094;52;104.0;4270.0;0.9245562130177515;MA521044270;MA52104;Standard;;PTCMASTRGSEG1 50x100x4270 140;;True;MA;MA 52x104
1522095;PTCMASTRGSEG1 50x100x3660 140;C;MA;RGH;G1;50.0;100.0;3660.0;1522095;52;104.0;3660.0;0.9245562130177515;MA521043660;MA52104;Standard;;PTCMASTRGSEG1 50x100x3660 140;0.94;True;MA;MA 52x104
1522096;PTCMASTRGSEG1 50x100x3050 140;C;MA;RGH;G1;50.0;100.0;3050.0;1522096;52;104.0;3050.0;0.9245562130177515;MA521043050;MA52104;Standard;;PTCMASTRGSEG1 50x100x3050 140;;True;MA;MA 52x104
1522097;PTCMASTRGSEG1 50x100x2440 140;C;MA;RGH;G1;50.0;100.0;2440.0;1522097;52;104.0;4880.0;0.9245562130177515;MA5210448808+8;MA52104;Standard;;PTCMASTRGSEG1 50x100x2440 140;;True;MA;MA 52x104
1522098;PTCMAAERGSEEX 50x100x4880 140;C;MA;RGH;EX;50.0;100.0;4880.0;1522098;52;104.0;4880.0;0.9245562130177515;MA521044880;MA52104;Excedente;;PTCMAAERGSEEX 50x100x4880 140;;True;MA;MA 52x104
1522099;PTCMAAERGSEEX 50x100x4270 140;C;MA;RGH;EX;50.0;100.0;4270.0;1522099;52;104.0;4270.0;0.9245562130177515;MA521044270;MA52104;Excedente;;PTCMAAERGSEEX 50x100x4270 140;;True;MA;MA 52x104
1522100;PTCMAAERGSEEX 50x100x3660 140;C;MA;RGH;EX;50.0;100.0;3660.0;1522100;52;104.0;3660.0;0.9245562130177515;MA521043660;MA52104;Excedente;;PTCMAAERGSEEX 50x100x3660 140;;True;MA;MA 52x104
1522101;PTCMAAERGSEEX 50x100x3050 140;C;MA;RGH;EX;50.0;100.0;3050.0;1522101;52;104.0;3050.0;0.9245562130177515;MA521043050;MA52104;Excedente;;PTCMAAERGSEEX 50x100x3050 140;;True;MA;MA 52x104
1522102;PTCMAAERGSEEX 50x100x2440 140;C;MA;RGH;EX;50.0;100.0;2440.0;1522102;52;104.0;4880.0;0.9245562130177515;MA5210448808+8;MA52104;Excedente;;PTCMAAERGSEEX 50x100x2440 140;;True;MA;MA 52x104
1522106;PTCMAAERGSEEX 19x74x3050 490;C;MA;RGH;EX;19.0;74.0;3050.0;1522106;20;77.0;3050.0;0.912987012987013;MA20773050;MA2077;Excedente;;PTCMAAERGSEEX 19x74x3050 490;;True;MA;MA 20x77
1522107;PTCMAAERGSEEX 19x74x2440 490;C;MA;RGH;EX;19.0;74.0;2440.0;1522107;20;77.0;4880.0;0.912987012987013;MA207748808+8;MA2077;Excedente;;PTCMAAERGSEEX 19x74x2440 490;;True;MA;MA 20x77
