Objeto;Denomin.;Familia;Espesor;Ancho;kerf;PrecodPP;Escuadria;Status
1205831;PPCMAPRRGSESD 23x95xRL;MA;23.0;95.0;;MA2395;MA 23x95;True
1205832;PPCMAPRRGSESD 50x148xRL;MA;50.0;148.0;;MA50148;MA 50x148;True
1205833;PPCMAPRRGSESD 75x148xRL;MA;75.0;148.0;;MA75148;MA 75x148;True
1205834;PPCMASPRGVESD 26x155x4880;MA;26.0;155.0;;MA26155;MA 26x155;True
1205835;PPCMASPRGVESD 28x104x4880;MA;28.0;104.0;;MA28104;MA 28x104;True
1205836;PPCMASPRGVESD 28x129x4880;MA;28.0;129.0;;MA28129;MA 28x129;True
1205837;PPCMASPRGVESD 40x129x4880;MA;40.0;129.0;;MA40129;MA 40x129;True
1205838;PPCMASPRGSESD 26x155x4880;MA;26.0;155.0;;MA26155;MA 26x155;True
1205839;PPCMASPRGSESD 28x104x4880;MA;28.0;104.0;;MA28104;MA 28x104;True
1205840;PPCMASPRGSESD 28x129x4880;MA;28.0;129.0;;MA28129;MA 28x129;True
1205841;PPCMASPRGSESD 40x129x4880;MA;40.0;129.0;;MA40129;MA 40x129;True
1205871;PPCMASPRGVESD 52x236xRL;MA;52.0;236.0;;MA52236;MA 52x236;True
1205872;PPCMASPRGSESD 52x236xRL;MA;52.0;236.0;;MA52236;MA 52x236;True
1205873;PPCMASPRGVESD 17x150xRL;MA;17.0;150.0;;MA17150;MA 17x150;True
1205874;PPCMASPRGVESD 26x236xRL;MA;26.0;236.0;;MA26236;MA 26x236;True
1205876;PPCMASPRGSESD 17x150xRL;MA;17.0;150.0;;MA17150;MA 17x150;True
1205877;PPCMASPRGSESD 26x236xRL;MA;26.0;236.0;;MA26236;MA 26x236;True
1205882;PPCMAPRRGVESD 50x95xRL;MA;50.0;95.0;;MA5095;MA 50x95;True
1205895;PPCMAPRRGSESD 50x95xRL;MA;50.0;95.0;;MA5095;MA 50x95;True
1205897;PPCMASPRGVESD 26x118xRL;MA;26.0;118.0;;MA26118;MA 26x118;True
1205898;PPCMASPRGSESD 26x118xRL;MA;26.0;118.0;;MA26118;MA 26x118;True
1205907;PPCMAPRRGVESD 50x129xRL;MA;50.0;129.0;;MA50129;MA 50x129;True
1205908;PPCMAPRRGSESD 50x129xRL;MA;50.0;129.0;;MA50129;MA 50x129;True
1205912;PPCMASPRGVESD 75x202xRL;MA;75.0;202.0;;MA75202;MA 75x202;True
1205928;PPCMASPRGVESD 26x155x3660;MA;26.0;155.0;;MA26155;MA 26x155;True
1205929;PPCMASPRGVESD 28x104x3660;MA;28.0;104.0;;MA28104;MA 28x104;True
1205930;PPCMASPRGVESD 28x129x3660;MA;28.0;129.0;;MA28129;MA 28x129;True
1205931;PPCMASPRGVESD 40x129x3660;MA;40.0;129.0;;MA40129;MA 40x129;True
